prompt,response
내담자: 저는 인문계 고등학교에 다니는 1 학년 여학생입니다 얼마전 학교에 서 문 이과 를 결정하는 계열선택이 있었는데 어느 쪽을 선택해야 좋을지 몰라 일단 내신등 급을 유리하게 받을 수 있는 문과로 결정했는데 과연 잘한 결정인지 계속 불안합 니다,상담사: 대학입시로의 초기 관문인 계열선택을 놓고 나름대로 고민하며 상담실에 도움 을 청한 학생의 적극적인 모습이 좋게 느껴집니다 자신의 삶 을 계획하는데 있어 중요한 부분을 차지하는 진로선택을 해야 하므로 불안과 갈등이 크리라 봅니다 무엇보다도 조급하게 생각해서 결정하 면 안된다는 점을 강조하고 싶습니다 어디 에 중점을 두고 선택해야 할지 몰라 내신 등급 관리를 위주로 계열을 결정했다는 것이 조금 아쉽 습니다 자신에게 적합한 계열이나 학과를 찾아내기 위해서는 자 신의 내면세계를 깊이있게 살펴보아야 합니다 먼저 진로선택의 주체는 자 기자신 이 되어야 하며 여기에 부모님 학교선생님 그리고 관련기관 전문가의 도움을 받 는 것이 필요합니다 진로탐색을 위해서는 다음의 세가지 작업들이 이루어져야 하 는데 첫째는 자기자신에 대한 이해 즉 자신의 능력 흥미 적성 성격 가치관 가정환 경 등을 정확하게 파악하는 것입니다 이를 위한 활동으로 심리검사를 활용할 수 도 있습니다 둘째는 대학 학과 및 직업세계에 대한 이해가 있어야 합니다 각 각 의 학과와 직업들은 서로 다른 특성을 지니므로 각기 다른 적성 흥 미 가치관 신체 적 특성 등을 요구하고 있다는 것을 염두에 두고 도서관 이나 서점 등을 통해 대 학안내 책자 직업사전 또는 취업정보 잡지 등 의 정보수집이 이루어져야 합니다 셋째는 앞의 두가지 작업을 통해 얻어진 것을 현명하게 연결지어 적절 한 선택을 하는 길입니다 위의 작업들이 결코 쉬운 일들은 아니지만 자신의 미래의 삶을 주 16 체적으로 만족스럽게 이끌기 위해서는 성실한 노 력이 뒤따라야 함을 생각하며 이미 계열선택이 끝난 상황이므로 조금 늦은 감은 있으나 다시한번 자신의 진로 에 대해 책임있는 자세로 신중 하게 고려한 후 담임선생님과 면담이 이루어졌으
내담자: 전 지금 고등학교 1 학년입니다 이제 2 학년이 되면 계열을 선택해야 하는데 그 선택이 매우 어렵군요 전 국어는 잘하고 수학은 잘 못하지만 아무리 생각해도 가고 싶은 학과는 자연계거든요 자연계를가서 고생하며 열심히하면 모르겠지만 열심히 안하고 내신만 낮아질지 걱정이예요 그냥 문과계에서 내신 좀 올리면서 조금은 편하게 있을까하기도 합니다 그런데 그러다가 제가 가고 싶지않은 과에 가서 나중에 후회할까봐 인문계도 선뜻 가질 못하겠어요 아무리 곰곰히 생각해 봐도 어디로 가야할지 저 자신은 잘 모르겠어요 조금이나마 도움을 주셨으면 해 서 이렇게 말씀 올립니다,상담사: 진로 문제로 편지를 주셨군요 문과계를 가야할지 자연계를 가야 할지 당신에 게 많은 고민이 되고 있나봐요 제 생각에 그렇게 많은 고민 끝에 얻어지는 결정 은 분명 올바른 결정일거라고 생각이 되네요 고등학교때부터 자신의 미래와 진로 를 위해 생각을 하시다니 당신은 정말 신중하고 진실하신 분이군요 그런데 저에 게 진로에 대한 조언을 부탁하셨는데 사실 최종적인 결정은 당신 자신이 하셔야 한다는 것 알고 계시죠 고등학교때는 대학에만 합격하면 모든 것이 끝날 것이라 고 생각하지만 사실은 그 다음부터 새로운 사회가 시작되는 것입니다 대학교 4 년 그 다음에 전공과 관련된 직장에서 인생의 반이상을 보내게 됩니다 미래의 모습 을 생각해 보세요 당신이 어떤 모습으로 어떤 곳에서 생활하고 있기를 바라는가 그 일을 하면서 어느정도나 행복할 수 있을까 지금 당장의 성적과 대학 입시만 생각하지 마시고 보다 멀고 길게 자신의 인생을 바라보세요 그리고 그런 여러가 지 모습중에서 당신이 가장 행복하고 만족할 것 같은 모습을 선택하시는 겁니다 17 그 모습이 되있기 위해서 필요한 공부가 어떤 것이지 그것에 맞추어 진로를 결정 하셔야지요 좀더 깊이 여러가지를 생각하시고 신중하게 결정하시기 바랍니다 생각하고 고민하고 정보를 얻어내는 만큼 더 좋은 결정이 있을테니까요 그럼 현 명한 결정 있으시길 빌며
내담자: 저는 고 2 남학생입니다 곧 고 3 이 될텐데 집안 사정이 그리 좋지 못 합니다 더 구나 저는 4 남매중 장남이랍니다 그래서 대학 진학을 고 집할 수도 없고 그렇다 고 포기도 안됩니다 부모님도 걱정이 크신 것 같습니다 저는 꼭 대학에 가고 싶 은데 어떻게 해야 좋을지 모르겠습 니다,상담사: 원하는 대학에 문의하여 어떤 종류의 장학금 제도가 있는지 알아보도록 하십시 오 또 학비에 큰 부담없이 공부할 수 있는 대학으로 일반대학 외에 경찰대학이나 세무대학 농협대학 육군사관학교 공군사관학교 해군사관학교 등 특수대학들도 있으니 너무 걱정하지 마십시오 이외에도 본인이 직접 아르바이트를하여 학비를 마련하거나 은행으로 부터 학자금을 대부받아 공부할 수 있는 길도 있습니다 뿐 만 아니 라 대학과 직장을 함께 가질 수 있는 길도 있습니다 특히 학생과 같 이 가정 사정이 어려워 경제적 어려움이 있는 경우라면 인문계 고등학 교 3 학년에서 도 변경이 가능한 직업과정반이나 직업학교 위탁교육을 받 아 자신의 개성 소질 적성이 맞는 직종에 자격증 또는 면허증 을 취 득하여 졸업후 산업체에 근무하게 되면 산업대학 일반대 야간대학과 전문대에 특전 입학이 가능합니다 뜻이 있는 곳에 길이 있습니다 본인의 결심과 노력에 따라 얼마든지 자기발전과 자아실현의 길이 열려 있음을 알고 긍정적인 생각을 가지고 최선을 다하기 바랍니다 가정 사 정이 조금 어렵다고 쉽게 꿈을 포기하지 마십시오 도저히 포 기할 수 없을 정도 로 대학 진학의 이유가 분명하다면 열심히 노력하여 원하는 대학에 들어가서 꿈 을 마음껏 펴시기 바랍니다 요즘 대학마 다 좋은 학생들을 유치하기 위해 충분하 지는 않지만 여러 종류의 장학 제도가 마련되어 있어 장학금을 받으며 얼마든지 18 공부할 수 있습니다 박규진 서울시
내담자: 저는 고등학교 2 학년에 재학중인 여학생입니다 요즘 저는 제 장래희망 으로 무 척 큰 고민에 사로 잡혔어요 뮤지컬 배우가 되고 싶은데 어떻 게 준비해야 하고 또 대학시험은 어떻게 치루어 지는지 궁금합니다,상담사: 종합예술인 연극무대를 많은 사람들이 동경하고 한 번쯤 해 보고 싶어 들 하는 데 그 중에서도 뮤지컬 배우 희망자를 많이 만날 수 있습니다 연극이란 작업은 프로 운동선수가 되는 것 만큼이나 고된 것입니다 특히 뮤지컬 배우는 다른 장르 배우에 비해 더 어렵습니다 왜냐하면 보통 일반극에는 특별한 경우를 제외하고는 춤과 노래가 들어가지 않는 데 반해 학생이 아시다시피 뮤지컬은 춤 노래 연기 가 다 함께 어우러 져야만 하기 때문입니다 춤은 현대무용을 기본으로 숙달을 해 야 하 고 노래는 성악을 바탕으로 합니다 제 주위에는 여러 명의 뮤지컬 배우들 이 있는데 아직은 뮤지컬 배우로서 걸음마를 하는 단계에 있습니 다 신체적으로 우리 동양배우들은 서구 배우들에 비해 신장이 작습 니다 현대무용 기본 동작을 동 서 사람이 똑같이 포즈를 취하더라도 서구사람 자세가 더 나아 보입니다 그러 면 더 많은 훈련과 연습을 해야 하는데 현실은 그렇지가 못합니다 지금 몇 개의 정규대학과 전문대학에 연극 영화 학과는 있지만 연기자를 양성하는 데는 대단히 부적합한 실태입니다 그러므로 많은 지망생들이 무용강습이나 성악 강습을 학교 외 공간에서 별도로 배우는 실정입니다 무작정 내가 끼 가 있다고 해서 할 수 만 있는 일이 아닙니다 많은 시간을 두고 인내하며 훈련을 해야 학생이 희망하는 배우가 될 수 있습니다 더 구나 뮤지컬 배우는 춤과 노래에 기본기를 닦아야 합 니다 춤은 현 대무용 학원에 가면 배울 수 있고 또 성악도 학원을 찾으면 됩니 다 또 하나 방법은 극단에 가서 한가지씩 배우는 길도 있습니다 그러 나 가장 먼저 학생이 해야 할 일은 부모님과 충분한 대화로서 진로에 관해 의논을 해야 19 하는 것입니다 왜냐하면 부모님께서 충분히 뒤를 돌봐 줄 수 있는지가 대단히 중 요한 것이 아닐까요 박재운
내담자: 인문계 고등학교에 입학했는데 우리나라에서는 대학진학하는 것이 어려 울 것 같아 지금 외국으로 유학을 가고 싶습니다 요즘은 대학을 다 니면서 해외로 어학 연수 가는 것을 많이 보았는데 고등학교때 유학을 가면 어떤 점이 좋고 어떤 점 이 나쁜 지 알고 싶습니다,상담사: 최근 해외유학 자율화 방안이 시행된 후 중고생들 사이에서 조기유학에 대한 관심이 무척 많아진 것으로 알고 있습니다 상담실에도 유학절차 나 부모님을 어 떻게 설득해야 하는지에 대해서 상담하는 학생들의 수가 많아지고 있구요 우리나 라에서 별 볼일 없는 대학에 가느니 보다 외 국에서 대학을 마치고 돌아오면 그 만큼 인정을 받을 수 있다고 생각 하기 때문이지요 외국엔 대학이 많아 선택의 폭도 넓어서 우리나라만큼 입시부담이 심하 지 않을테고 또 본토에서 언어를 배 울 수 있다는 이점도 가지고 있는 셈이구요 근래에 미국뿐 아니라 호주 뉴질랜 드 캐나다 등이 새로운 유학 대상국으로 각광받고 있고 필리핀 등 동남아로 가는 경우도 많습 니다 중고등학교 때 유학을 가게 되면 외국에서의 혼자생활을 통해 자립심을 기를 수 있다는 장점도 있습니다 그리고 언어습득의 문제 에 있어서도 나이가 어릴수록 더 단시간 내에 언어을 습득하고 익숙해 질 수 있지요 한편 조 기유학에는 그에 못지않게 많은 제한점들이 있 답니다 아무리 언어습득이 쉬운 나이라 해도 언어와 문화의 장벽이 가장 큰 어려움이라고들 합니다 그리고 아무 도 도와주는 사람 없는 외국에서 외로움을 느끼기도 쉽고 한국의 유학생들이 빠 지기 쉬운 여러 가지 유혹들이 기다리고 있기도 합니다 그러므로 주위의 성공 사 례 만을 믿고 충분한 준비나 능력도 갖추지 못한채 무작정 덤비는 것은 매 우 위 험합니다 그러나 모든 유학생들이 실패를 경험하는 것은 아니 므로 어렵고 벅찬 20 상황에서도 뚜렷한 목표의식을 가지고 도전하는 학생 들에게는 더 없이 좋은 기 회가 될 수도 있습니다 무엇보다 중요한 것은 모든 어려움을 극복하고 성취하겠 다는 스스로의 확고한 의지가
내담자: 고 1 여학생입니다 얼마전 학교에서 받은 적성검사 결과로는 저에게 변호사가 맞다고 나왔는데 저는 변호사보다는 실내디자인을 공부하고 싶습니다 이런 경우 에는 적성검사 결과대로 변호사가 되는 것이 좋 은지요,상담사: 적성이 높다고 나온 분야와 자신이 희망하는 분야가 달라서 갈등하고 있네요 좀 더 미래에 대해 구체적으로 준비하고 싶은데 양쪽 모두를 하기는 어렵고 무언 가 확실하게 정해졌으면 좋겠지요 적성검사를 비롯한 각종 심리검사는 스스로를 이해하는데 도움을 줍니 다 단 검사결과를 맹신해서는 안됩니다 결과는 진로를 결정하는 보조자료로 쓰여야지 적성검사 결과를 절대적으로 믿고 자신의 의사에 반해서 그 직업을 택하는 것은 바람직하지 않습니다 적성과 흥미 성격 가정환 경 건강상태 가치관 등과 학교성적을 고루 고려해야 바 른 직업선택을 할 수 있 습니다 자신이 희망하는 직업에 관련된 정 확한 정보를 얻는 과정도 필요하지요 특히 요즘 디자인에 대한 관심 이 많아지면서 남들이 유망분야라고 하니까 자신 이 그 분야에 능력이 있는지 실제 그 직업이 어떤 일을 하는 것인지 잘 알아보지 않은채로 결정하는 모습을 많이 보게 됩니다 자신에게 미적 감각과 그를 표현 할 수 있는 기본적 능력이 있는지 관련 교과목에는 얼마나 관심이 있 고 왜 그 일을 하고 싶은지 점검해 보는 시간이 필요하겠습니다 결 정은 스스로 내리는 것이지 만 결정하기 위한 참고 조사를 할 때는 주변 일가 어른이나 선생님 관련분야 전 문가 등의 도움을 받는 것도 좋겠습 니다 21
내담자: 저는 대학 1 학년 재학중입니다 그런데 고등학교 때의 사소한 일로 인해 원하는 대학에 진학하지 못했습니다 그런 현실이 너무 싫고 괴롭습니다,상담사: 사람이 살아가면서 정말 자기가 원하는 것을 다할 수 있다면 무한히 행 복하리 라 생각됩니다 그렇지만 사람 자체가 완전한 존재가 되지 못 하기 때문에 기회를 적절하게 활용하지 못하면 만족스럽지 못하고 아쉬 울 때가 많습니다 학생은 고 등학교 때 계획하였던 대학교에 진학하 지 못해 못내 아쉬울 뿐만 아니라 현재 학교생활에 만족하지 못해 괴로 워하고 있는 것 같군요 고등학교 때 함께 장래를 계획하며 공부를 했던 학생 중에 원하는 대학에 진학한 다른 친구들이 부럽기도 하고 그렇지 못한 자신에 대해 특히나 사소한 일로 인한 것이기 때문에 매우 못 마땅하고 착잡하리라 생각됩니다 모로가도 서울만 가면 된다는 말이 생각납니다 분명히 학생은 현재 서울로 바로가는 직행버스는 타지 못했습니다 그렇지만 서울 에는 가 려고 합니다 학생의 경우는 원하는 차를 못탔기 때문에 느껴지는 아 쉬 움은 지극히 당연합니다 그렇지만 그 아쉬움에만 너무 머물러 있 다보면 무력감 이 생기게 되고 더 나아가 모든 것을 무가치하게 만듭니 다 현재 괴로운 것은 사 실입니다 그렇지만 또 다른 현실을 고려 해야만 합니다 내가 여기에 계속 머물 러 있을 것이냐 아니면 다른 버스라도 잡아타고 떠나느냐 하는 것 말입니다 상 담을 하고 있는 나도 원하는 대학에 진학하지 못해서 좌절감과 갈등 그리고 자신 감의 상실을 느끼며 대학 초반기를 보낸 적이 있습니다 그러다가 대학 2 학년 2 학기때 좋은 선배와의 만남을 통해 나를 다시 바 라보게 되었고 희망을 갖게 되 어 정신을 차려 열심히 대학생활에 매진 하게 되었습니다 그 때 내 마음속에는 10 년후에 보자 끝에 가서 웃는 자가 진정한 승리자이다 라는 굳은 결심을 하면 서 말입니다 대학에 입학후 15 년이 지난 지금 나는 내 생활에 대해 의미있게 생 각하 고 있습니다 그래도 아쉬움이 있다면 2 학년 2 학기가 아니고 1 학년때 정신 을 차렸더라면 하는 것입니다 학생도 현실을 새롭게 인정하고 새로운 설계를 하 십시오 현재의 괴 로움이 더 큰 원동력이 되어 미래의 기쁨이 될 수 있도록 말입 니다 22
내담자: 저는 올해 인문계 고등학교를 졸업한 남학생입니다 이제까지 대학을 가겠다고 생각해 왔기 때문에 고등학교 때 취업에 관한 준비를 해놓은 것이 하나도 없는 상태입니다 그런데 수능성적도 좋지 않고 집안 형편도 별로 좋지 않아 집에서나 제 자신도 재수하려는 마음은 없는데 막상 취업을 하려 해도 무엇을 어떻게 해야 하는지 몰라 지금 집에서 놀고 있습니다 며칠전 아버지께서 직업훈련원에라도 가 보지 않겠냐 고 하시는데 그곳은 어떤 사람들이 가며 거기를 나오면 취업이 보장 되 는지 알고 싶습니다,상담사: 중등학교 교육이 아직까지 입시위주로 이루어지고 있어 학생을 포함한 많은 학 생들이 대학진학에 목표를 두고 대부분의 시간을 보내고 있다고 봅니다 그 때문 에 대학 진학에 실패하게 되면 앞으로 진로를 어떻게 정해야 할지 막막하고 달리 배운 기술이나 따놓은 자격증도 없으니 취 업을 한다는 것도 쉬운 일이 아닐겁니 다 아마 인문계를 졸업하고 재 수를 하지 않겠다고 생각하는 학생들의 대부분이 이런 고민을 하고 있 을거예요 요사이는 아르바이트를 할 수 있는 곳이 비교적 많아 취업을 하지 않 고 특별한 자격이 요구되지 않는 곳에서 아르바이트를 하는 경우도 많 아요 그런데 아르바이트를 하는 학생 가운데는 자주 일자리를 바꾸 는 것을 보았어요 여러 분야에서 경험을 쌓는다는 면에서는 좋은 일 이 될 수도 있 지만 10 20 년 후를 내다본다면 한 분야에서 전문가가 되 는 것이 필요하다고 봅 니다 이렇게 볼 때 학생이 아버지를 통해 직업 훈련원에 관한 정보를 듣고 그곳 에 대한 관심을 가진다는 것은 좋은 일입니다 서울에는 몇 군데의 직업전문학교 가 있는 데 여기에는 서울시립상계직 업전문학교에 관한 내용들을 소개하려고 합 니다 먼저 우리 학교는 서울특별시에 거주하는 시민을 대상으로 실습위주의 기 술교육을 시켜 자립기반을 조성케하고 생활안정을 도모하여 나아가서 국가산업 기술인력 수요를 충족시키고자 설립되었어요 응시자격은 주민등록상 서울시 거주 자로서 주간학생은 만 14 세에서 만 24 세까지 야간학생은 만 14 세에서 만 50 세 까 지의 연령에 해당되는 시민이 면 학력에 관계없이 누구나 응시할 수 있습니다 현 재 교육을 받고 있는 학생들은 중학교 또는 고등학교를 졸업하고 진 학을 희망하 23 였지만 여러 가지 사정으로 진학하지 못하여 일찍이 사회진 출을 기대하면서 취 업에 필요한 기술을 배우거나 군 병영생활을 마치고 특별한 기술이 없어서 취업 이 어려운 자들이 필요한 기술을 배우고 있 습니다 그리고 교육생들이 1 년의 교 육과정을 마치게 되면 전원 100 취업알선을 물론 취업후 보람찬 직장생활을 위한 사후지도와 교육기간 동안 전액 무료교육 및 전교생 컴퓨터 교육실시 생활 관 기숙사 무료제 공 국가기술자격검정 기능사 2 급 응시 1 년과정 필기면제 등 여 러 가지 혜택이 주어집니다 또 취업에 관한 교육외에도 인성계발을 위한 교 육프 로그램과 축제 체육대회 등 다채로운 행사 및 동아리 활동에 참여 할 수 있습니 다 대학진학에 실패하였더라도 이처럼 직업교육 및 취업의 길이 열려있으 므로 좌절하지 말고 직업학교에서 자신의 미래를 준비한다면 좋은 결과 있을겁니다 이
내담자: 저는 중 3 여학생입니다 성적이 좋지 않아 대학 들어가기가 힘들 것 같아요 앞 으로 몇 달 후면 고등학교 입시원서를 써야 하는데 인문계 를 가야할지 실업계를 가야할지 망설여집니다 어차피 대학가는 것 이 힘들다면 인문계를 나와도 별 볼 일 없을 것 같고 또 선배들 말을 들어보면 요즘 실업계를 나와도 취직하기가 어 렵다는데 제 경우는 어떻 게 하는 것이 좋을까요,상담사: 자신의 앞날을 준비하는 진로문제는 누구에게나 오랜 시간동안 고민을 거듭하 게 한답니다 어른들의 경우도 한가지 직업을 갖고 그 방향으로 계속 매진하는 사 람이 있는가 하면 중간에 진로를 바꾸어 이제껏 해오던 일과는 전혀 다른 일을 하는 사람도 보아 왔어요 중도에 진로를 변경하는 것은 큰 용기를 필요로 하는 일이지만 그렇게 하는 사람들이 있는 것을 보면 우리 인생에서 진로문제는 참으 로 커다 란 부분을 차지하고 있음을 실감케 합니다 학생도 지금 한참 진로선택을 하기 위해 고민하고 있는 것으로 보이네 요 그런데 아무런 생각없이 일단 고등 학교나 가고 보자 가 아니라 이모저모를 짚어보고 신중히 결정하려는 학생의 자 24 세가 기특하게 여겨 집니다 고등학교 졸업 후 대학을 갈 것인가 취업을 할 것인 가를 미리 생각해 두는 것은 이 시기에 필요하다고 봅니다 그런데 편지의 내용으 로 보 아 학생이 성적이 좋지 않아 대학을 못가겠다고 생각하는 것은 조금 이 르 지 않나 하는 생각을 했어요 대학을 가기까지는 아직 여러 해가 남았기 때문입니 다 지금 중학교 3 학년이므로 먼저 현재 자신의 성적이 최대한 노력을 다하 여 얻 은 결과인지 아니면 노력부족으로 인한 것인지 생각해 보아야겠 죠 만약 이제껏 노력 부족이었다면 앞으로 노력을 한다면 어느 정도 로 성적이 향상될 수 있는 지 아마 이 물음의 답은 누구보다도 학생 자신이 가장 정확히 알고 있으리라 봅 니다 또 여기에 도움을 주실 수 있는 분이라면 부모님과 담임선생님이 계시죠 앞으로 내가 어떤 일을 하면 재미있고 보람을 느낄 수 있을까를 생각해 보고 또 내가 하고 싶어하는 일이 내 능력에 맞는 일인지도 아울러 살 펴보아야 겠죠 그 리고 그 일을 하기 위한 자격조건이 대학을 나와야 하는 것인지 고등학교 졸업만 으로도 가능한 것인지 등을 알아보세요 이런 점들을 고려하여 보다 구체적으로 진로를 탐색해보는 것이 필요합 니다 참고로 인문고와 실업고에 관해 잠깐 살펴 보면 인문계 고등학교로 진학할 경우는 보통 대학진학 준비를 하지만 진학을 하 지 않고 취업 할 수 있는 길도 있어요 고 2 때 직업반으로 신청하 여 고등학교 3 학년 1 년간 전문기술을 배울 수 있어요 그 직업반에 들어가게 되면 아현직업학 교 종로산업학교 서울산업학교 등에 배치되어 주 5 일은 직업학교에서 실기 위주의 수업을 받고 자기가 다니 는 고등학교에는 주 1 일 등교합니다 이 경우는 자격시험을 거쳐 2 급 기능사 자격증을 따서 취업할 수 있답니다 실업계 고등학교 에 진학할 경우는 사무자동화 또는 정보통신 과정 을 이수하여 2 급 기능사 자 격증을 딴 후 취업을 하거나 특별전형하는 동일계열 전문대학에 진학할 수 있습 니다 이처럼 실업계 고등학교를 나오더라도 취업만이 아니라 대학을 진학할 수 있는 길이 있음을 염두 해두고 진로선택을 하기 바랍니다 끝으로 지금 시기에서 무엇보다 중요한 것은 중 3 학업과정을 성실히 이 수해 나가는 것이므로 순간 순 간 최선을 다하도록 하세요 나병순  8 25
내담자: 응용통계 통계학 경영정보학과의 향후 진로 취득 자격증 졸업후 진출 방향 에 대하여 알고 싶습니다,상담사: 학생이 관심을 가지는 분야는 컴퓨터를 활용할 수 있는 학과인 것으로 생각됩 니다 먼저 통계학과는 수학이 기초가 되어 전자계산 조직을 중심으로 그 기계 내부 및 외부환경을 연구하는 학문인데 프로그래밍 언어 분산처리 수리 계산 정보 취급분야 인공지능 등을 다룹니다 졸업후 정부나 기업체로 진 출하여 컴퓨터 업 무에 종사하게 됩니다 응용통계학과는 통계학을 바탕으로 확률적 이론과 수학적 수단을 가지고 미지의 대상에 대하여 올바른 결정을 내리는데 필요한 과정에 관 한 연구 를 하는데 이것은 경제학 사회학 경영학 심리학 등의 분야에 필수적인 학 문으로 응용되고 있습니다 졸업 후 취직하면 일반 기업체에서는 조사 업무와 기 획업무를 담당하고 금융업체 및 보험업계에서는 금융통계와 조 사업무분석을 담 당하는 경향이 있습니다 이밖에 계산통계학과 전산통계학과 정보과학과 정보처리 학과 등도 유사한 학과인데 이들은 모두 자연과학계열의 학과이며 뒤에 말할 경영 정보학과 는 사회과학계열의 학과입니다 기업의 입장에서 설명한다면 경영자가 모든 사항을 집행하고 통제하는데 도움을 주는 것을 경영정보 시스템이라고 하는 데 이것을 다루는 학문이 경영정보학과입니다 졸업후에는 종합청사 금융계 컴퓨 터 산업 관련 업체 등으로 진출하게 됩니다 컴퓨터 업계가 대단한 호황을 누리는 현재의 추세로 보아 이들 학과는 전 망있는 인기학과라고 말할 수 있습니다 자격 증으로는 정보처리기사 또는 정보처리기능사 자격증이 있는데 이것이 학업이나 취업에 큰 보탬이 될 것입니다 이창섭 중앙학원 상담실장 학원가신문 제공 26
